Subject;WMC_MU;WMC_Binding;WMC_OpSp;WMC_SenSp;BIS_PC;BIS_M;BIS_PS;BIS_C;V_Mean;N_Mean;F_Mean;g_Mean;G_total
1;0.716666667;0.917857143;0.946428571;0.973809524;109.33;104.33;109;107.33;112.8;110.8;100;107.87;112
2;0.796666667;0.902357143;0.733253968;0.820952381;100;102.33;96;96.67;102.2;91;103.8;99;95
3;0.422222222;0.879785714;0.572380952;0.686666667;97;88;96.33;93;94.2;99.6;89;94.27;85
5;0.634444444;0.758357143;0.668174603;0.867619048;101.17;95.33;113;93;109.2;99.6;93.4;100.73;98
6;0.301111111;0.692857143;NA;0.201904762;86.17;84;82.33;99;93;83.6;86;87.53;70
7;0.91;1;0.991666667;0.973333333;118.67;116;119;113.33;121.6;121;108.8;117.13;130
8;0.936666667;0.7095;0.770238095;0.880952381;103.5;106.67;109;94;107;108;95;103.33;103
9;0.356666667;0.833285714;0.646984127;0.664603175;92.83;100.33;105.33;109.33;106.8;97.8;95.8;100.13;97
10;0.435555556;0.716714286;0.662063492;0.576507937;100.5;97.33;102;96.33;99.8;99.8;98.4;99.33;95
11;0.586666667;0.776214286;0.782460317;0.847619048;96.5;103;99.33;109;106.6;96.8;99.2;100.87;98
12;0.35;NA;0.500952381;0.841269841;100.17;102.33;100;100.33;108.6;96.8;96.4;100.6;98
13;0.294444444;0.536928571;0.707698413;0.892063492;88;88;90.33;88.33;91.4;96.4;77.8;88.53;73
14;0.448888889;0.727357143;0.819603175;0.942857143;105.33;98.33;101.33;109.67;110.6;103.4;98;104;105
15;0.364444444;0.773785714;0.432063492;0.717777778;93.17;93.67;92;96.67;100.8;91.8;88.6;93.73;84
16;0.713333333;0.945214286;0.842857143;0.958730159;100.5;112.33;103.33;94.33;109.8;101.4;95.4;102.2;101
17;0.673333333;0.964285714;0.733730159;0.614444444;113.83;95.67;113.67;100.67;110.4;105.2;107;107.53;112
18;0.375555556;0.609571429;0.749761905;0.792380952;98.33;94;102.33;105.67;103.6;103;92.6;99.73;96
19;0.933333333;0.935714286;0.83015873;0.99047619;115.67;112.67;100.67;109.67;116;104;112.6;110.87;118
20;0.485555556;0.852357143;0.876587302;0.834285714;92.33;104.33;106.67;103.67;99.4;95.6;104.6;99.87;97
21;0.696666667;0.847642857;0.885714286;0.877777778;95.5;93.67;92.33;109.33;104.6;92;95.2;97.27;91
22;0.78;NA;0.629047619;0.826031746;107.33;90;96;102;109.2;98.4;94;100.53;98
23;0.608888889;0.897642857;0.688253968;0.656190476;93.33;86.67;103.67;99.67;96.4;95.8;93.8;95.33;87
24;0.72;0.9;0.851904762;0.925396825;102.67;107;97.33;104.67;113.8;93;101.8;102.87;102
25;0.786666667;0.892857143;0.835873016;0.977777778;98.83;101.33;100.33;100.33;102.6;100.2;97;99.93;97
26;0.558888889;0.971428571;0.61531746;0.658412698;104.67;96.67;103.33;104.67;111;95.2;102.2;102.8;102
27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;0.602222222;0.955928571;0.891428571;0.957142857;99;99.33;103;102.33;99.6;97;105;100.53;98
29;0.894444444;0.946428571;1;1;102.33;106;98.33;96.33;108.6;100.4;94.2;101.07;99
30;0.592222222;0.976214286;0.790555556;0.803174603;100.83;114.33;106.33;89;108;98.8;100;102.27;101
31;0.334444444;0.653571429;0.680873016;0.62;95;100;91.67;88;100;101.4;80.4;93.93;84
32;0.64;0.942857143;0.759603175;0.777460317;96.17;102.67;110.33;90.33;101.8;103.2;92.4;99.13;95
33;0.67;0.932142857;0.948809524;0.958730159;102.5;92.67;101.67;114;106.4;105.8;95.8;102.67;102
35;0.711111111;0.955928571;0.922142857;0.876190476;102.17;112.67;100.67;95;105;110.6;92;102.53;102
36;0.496666667;0.752357143;0.45515873;0.649365079;95;91;98.33;111.33;99.6;100.6;94.2;98.13;93
37;0.86;0.976214286;0.688650794;0.772539683;103.83;100;110.67;103.33;105;103.6;104.4;104.33;105
38;0.553333333;0.769071429;0.728095238;0.696984127;102.33;98;96.67;85.33;102;89.4;99.4;96.93;91
39;0.85;0.923785714;0.816507937;0.872380952;103.17;98;106;96.67;101.2;96.2;106.8;101.4;100
40;0.45;0.883285714;0.522936508;0.751746032;100.67;106.67;93;97.33;106.2;92.8;100;99.67;96
41;0.831111111;0.976214286;0.988888889;0.86031746;103.17;107;99.67;91;98.2;98.8;105.4;100.8;98
42;0.866666667;0.953571429;0.788333333;0.920634921;108;101;112.33;98.67;109.2;105.8;101.8;105.6;108
