Var1,cue_Alpha_globallocal_switch_all,cue_Alpha_globallocal_repeat_all,cue_Alpha_globallocal_switch_odd,cue_Alpha_globallocal_switch_even,cue_Alpha_globallocal_repeat_odd,cue_Alpha_globallocal_repeat_even
Exp23_0001_epoched_cue_-750_1000_tf_power.mat ,-1.71649722864489,-1.83730823048887,-1.73995092775466,-1.73270557903959,-1.86063165008037,-1.84650903551451
Exp23_0002_epoched_cue_-750_1000_tf_power.mat ,-2.63449728966466,-2.78465188910744,-2.46285133953852,-2.86964639879986,-2.60459922973239,-3.01581006665586
Exp23_0003_epoched_cue_-750_1000_tf_power.mat ,-2.97395808215611,-2.38853520977275,-2.9197484198673,-3.07432958524875,-2.84649564713684,-2.02053570327157
Exp23_0005_epoched_cue_-750_1000_tf_power.mat ,-0.726931777542806,0.23740674679838,-0.779754704858114,-0.7070936838658,0.381398494774453,0.0487517576533236
Exp23_0006_epoched_cue_-750_1000_tf_power.mat ,-1.54724717050288,-1.53530116504119,-1.50897830302774,-1.616702595396,-1.48392292331316,-1.61480064264092
Exp23_0007_epoched_cue_-750_1000_tf_power.mat ,-2.24353833581098,-1.18976996273215,-2.30988267422895,-2.21825675366141,-1.17988296689571,-1.24567512457677
Exp23_0008_epoched_cue_-750_1000_tf_power.mat ,-4.09741613926516,-2.07124166556892,-4.20133550800228,-4.03990876496063,-2.13906405274359,-2.05379820902943
Exp23_0009_epoched_cue_-750_1000_tf_power.mat ,-1.41835101430715,-0.210028308960575,-1.29731598243869,-1.56353716261877,-0.24015785459618,-0.202975632902647
Exp23_0010_epoched_cue_-750_1000_tf_power.mat ,-1.57358501662595,-0.822009998659046,-1.56448424672372,-1.61931502548098,-0.813007453960242,-0.866797960553728
Exp23_00116_epoched_cue_-750_1000_tf_power.mat,-2.10960231813898,-2.64313400386884,-1.6312060319008,-2.70201132284901,-2.82487835294039,-2.51394761941217
Exp23_0011_epoched_cue_-750_1000_tf_power.mat ,-4.68287656928475,-3.73713694269283,-4.75903385608169,-4.66000256733755,-3.76065875443669,-3.7630950651425
Exp23_0012_epoched_cue_-750_1000_tf_power.mat ,-1.99113956205937,-1.15512194519477,-2.18786843941495,-1.85897294854267,-0.988017137176974,-1.36972754372777
Exp23_0014_epoched_cue_-750_1000_tf_power.mat ,-1.41619131230144,-1.1040461906282,-1.38331723554409,-1.49516355037514,-1.08435759544333,-1.161139180189
Exp23_0015_epoched_cue_-750_1000_tf_power.mat ,-1.05901981417792,-1.02873314732828,-1.29518672611755,-0.860687743979371,-1.23661416972283,-0.848335604438106
Exp23_0016_epoched_cue_-750_1000_tf_power.mat ,-0.664296852548488,-0.702041871482483,-0.788976419126391,-0.570133465991607,-0.760744543981743,-0.667036769834856
Exp23_0017_epoched_cue_-750_1000_tf_power.mat ,-0.328645497948987,-0.00188321376019348,-0.526732391319418,-0.169235269002506,0.0124965841921915,-0.0437186138058211
Exp23_0018_epoched_cue_-750_1000_tf_power.mat ,0.216483055357651,0.410843699809571,-0.294383244565916,0.636092696192121,0.242890212543596,0.516121414406587
Exp23_0019_epoched_cue_-750_1000_tf_power.mat ,-0.634845126016193,0.144560998964293,-0.567982811118386,-0.741308019112048,0.371562448716323,-0.134651342639413
Exp23_0020_epoched_cue_-750_1000_tf_power.mat ,-0.758847474008652,-0.24550948871607,-0.661444853695454,-0.876356743442382,-0.186193018547468,-0.329436786626829
Exp23_0021_epoched_cue_-750_1000_tf_power.mat ,0.449663188360945,-0.0571738577440558,1.06235228604562,-0.333009037908783,0.0542343211887158,-0.238932897652198
Exp23_0022_epoched_cue_-750_1000_tf_power.mat ,0.127301083166773,-0.121547254050035,-0.427475173094762,0.587328578488403,-0.159586454390961,-0.12970334012152
Exp23_0023_epoched_cue_-750_1000_tf_power.mat ,-1.57256272501769,-0.733216778297961,-1.7907189013743,-1.41058269975601,-0.63462465820497,-0.912486668200784
Exp23_0024_epoched_cue_-750_1000_tf_power.mat ,-0.914953292399981,-0.668648749945123,-1.08030037693712,-0.780587688341962,-0.890827604554817,-0.479509720809269
Exp23_0025_epoched_cue_-750_1000_tf_power.mat ,-1.35128580645576,-1.06692405709889,-1.35849891491145,-1.37637694288984,-0.863513342445973,-1.3148822668806
Exp23_0026_epoched_cue_-750_1000_tf_power.mat ,-1.67344326144049,-1.56102796722142,-1.79338596394468,-1.58665813433832,-1.62594785186052,-1.52390718594395
Exp23_0027_epoched_cue_-750_1000_tf_power.mat ,-3.76022855654566,-3.44036315354529,-3.62143033258527,-3.93341083570825,-3.34088388161285,-3.59217895090161
