Var1,cue_Alpha_numberletter_switch_all,cue_Alpha_numberletter_repeat_all,cue_Alpha_numberletter_switch_odd,cue_Alpha_numberletter_switch_even,cue_Alpha_numberletter_repeat_odd,cue_Alpha_numberletter_repeat_even
Exp23_0001_epoched_cue_-750_1000_tf_power.mat ,-2.62477434431779,-2.33387309491964,-2.65349622765109,-2.62971607777899,-2.30882254522204,-2.40998188315651
Exp23_0002_epoched_cue_-750_1000_tf_power.mat ,-3.4586498655185,-2.23607380304576,-4.80631362776852,-2.51717458620413,-2.99799126942988,-1.64346501358838
Exp23_0003_epoched_cue_-750_1000_tf_power.mat ,-1.1847583965751,-1.15479583953133,-1.26693632350286,-1.15305564432603,-0.980501462202442,-1.38106384286481
Exp23_0005_epoched_cue_-750_1000_tf_power.mat ,0.544033235940829,0.954516056419158,0.374972552824584,0.663923814264273,1.23806789626811,0.551688034966186
Exp23_0006_epoched_cue_-750_1000_tf_power.mat ,-0.374584939891772,-0.482016274083885,-0.315199487341126,-0.486945174987429,-0.449830679638208,-0.554628840030534
Exp23_0007_epoched_cue_-750_1000_tf_power.mat ,-2.44860260170435,-1.41570809173827,-2.59015900127745,-2.36173605433489,-1.36609833338412,-1.50978254653195
Exp23_0008_epoched_cue_-750_1000_tf_power.mat ,-2.67194940730311,-1.068822703122,-2.99670331851331,-2.42616176443488,-1.3653007551058,-0.829358610121487
Exp23_0009_epoched_cue_-750_1000_tf_power.mat ,-2.70713297499936,-1.05359425986097,-2.31673101611532,-3.17897784786834,-1.3071707475608,-0.864659864364513
Exp23_0011_epoched_cue_-750_1000_tf_power.mat ,-2.74689782282902,-2.07452163367281,-2.93451673501469,-2.6187720023669,-2.00569637590733,-2.20574405679871
Exp23_0012_epoched_cue_-750_1000_tf_power.mat ,-0.373199275008967,0.378173315890335,-0.836831119445558,-0.0163938678455466,0.21209108487448,0.48977714863296
Exp23_0013_epoched_cue_-750_1000_tf_power.mat ,-3.83728882194605,-2.92107508599366,-3.91012679765235,-3.82359603662601,-3.09936969892944,-2.80641572076292
Exp23_0014_epoched_cue_-750_1000_tf_power.mat ,-1.01669954587383,-0.418744768780501,-0.939263692694314,-1.16986068692412,-1.1205457830783,0.122437473213046
Exp23_0015_epoched_cue_-750_1000_tf_power.mat ,-3.08315167528714,-2.00660539941612,-2.9682671875988,-3.2670390517896,-1.89250906011164,-2.16487431411628
Exp23_0016_epoched_cue_-750_1000_tf_power.mat ,-1.19092678219045,-1.09808210436038,-1.75755679222072,-0.749532213210167,-1.30115756584594,-0.950012836561517
Exp23_0017_epoched_cue_-750_1000_tf_power.mat ,-0.600546516272462,-0.587550445945363,-0.83279076928084,-0.409932781616627,-0.619544387769356,-0.583548945340384
