Var1,target_Alpha_numberletter_switch_all,target_Alpha_numberletter_repeat_all,target_Alpha_numberletter_switch_odd,target_Alpha_numberletter_switch_even,target_Alpha_numberletter_repeat_odd,target_Alpha_numberletter_repeat_even
Exp23_0001_epoched_target_-1950_1500_tf_power.mat ,-1.38539244732199,-1.10035818502097,-1.32169235984403,-1.49750113199265,-1.10817011543777,-1.14192034786155
Exp23_0002_epoched_target_-1950_1500_tf_power.mat ,-1.16514286331515,-0.126228129705215,-1.67998919949021,-0.814818341770139,0.169410411649903,-0.52602990928805
Exp23_0003_epoched_target_-1950_1500_tf_power.mat ,-1.52512943264322,-1.45914012849142,-1.7821557175052,-1.32256280418969,-1.57065876821237,-1.43818883516836
Exp23_0005_epoched_target_-1950_1500_tf_power.mat ,-0.23941285204277,0.18378199110903,-0.292455481745471,-0.257946227858634,0.159700550491953,0.154197485414557
Exp23_0006_epoched_target_-1950_1500_tf_power.mat ,-0.0219906701734335,-0.0362645488217923,-0.0441459709532407,-0.037264221004193,-0.0437921693474151,-0.0699747726898074
Exp23_0007_epoched_target_-1950_1500_tf_power.mat ,-2.47893901773344,-1.54460180385147,-2.8384466136296,-2.19869925184258,-1.41109831655664,-1.74562662764094
Exp23_0008_epoched_target_-1950_1500_tf_power.mat ,-2.80640686621941,-1.88079371627747,-2.83510932577147,-2.85309384491271,-2.08644811861259,-1.73386442812915
Exp23_0009_epoched_target_-1950_1500_tf_power.mat ,-1.87998313218872,-0.562131346055244,-2.00697957462815,-1.80551897457855,-0.272471860996522,-0.907533554283672
Exp23_0011_epoched_target_-1950_1500_tf_power.mat ,-2.44621117143796,-1.91262624885113,-2.20663703952161,-2.76599667353274,-2.10076802117284,-1.80090099141844
Exp23_0012_epoched_target_-1950_1500_tf_power.mat ,-0.75915275834133,-0.173190482730411,-1.14486972753276,-0.477187209753864,0.0165748712078855,-0.427031798708678
Exp23_0013_epoched_target_-1950_1500_tf_power.mat ,-2.56026570413855,-1.78590544305469,-2.58205864863279,-2.57729873120031,-1.86307941624624,-1.77382237866494
Exp23_0014_epoched_target_-1950_1500_tf_power.mat ,-1.58728261935878,-1.12036448617965,-1.59128759000696,-1.65692644558049,-1.36480802852083,-0.940012727068221
Exp23_0015_epoched_target_-1950_1500_tf_power.mat ,-2.3153356211544,-1.16298704961529,-2.30143749219488,-2.37402567243447,-0.896683832571654,-1.48505834563945
Exp23_0016_epoched_target_-1950_1500_tf_power.mat ,-0.706761744443876,-0.669035779411752,-0.804691423304736,-0.65595921973828,-0.68964092678107,-0.699362171468225
Exp23_0017_epoched_target_-1950_1500_tf_power.mat ,-0.850476867872607,-0.949398420299985,-1.04219035019323,-0.7060241217901,-0.941171786843184,-1.00300705834128
Exp23_0018_epoched_target_-1950_1500_tf_power.mat ,-0.458409618300138,0.058636675270767,-0.294452850162723,-0.678497118709571,-0.0671267014497345,0.13680320690828
Exp23_0019_epoched_target_-1950_1500_tf_power.mat ,-4.36530830563785,-1.78010333834979,-4.44968177900638,-4.32315688153574,-1.6911113185769,-1.91711561114209
Exp23_0020_epoched_target_-1950_1500_tf_power.mat ,0.475539036428294,0.618553576498883,0.444669445248193,0.45852050564063,0.088676141953197,1.0363153465239
Exp23_0021_epoched_target_-1950_1500_tf_power.mat ,-1.72009395571568,-1.58605648116551,-1.71646212983422,-1.79925164483242,-1.19349916833179,-2.09368572213986
Exp23_0022_epoched_target_-1950_1500_tf_power.mat ,-3.26781044933607,-2.35741331559376,-3.08420940384546,-3.51603929063188,-2.25467221983044,-2.51560975411599
Exp23_0023_epoched_target_-1950_1500_tf_power.mat ,-0.89613096995492,-1.00962377452761,-0.804373899547178,-1.14996742490693,-1.23962290421042,-0.964366548012621
Exp23_0025_epoched_target_-1950_1500_tf_power.mat ,-0.9898761334127,-0.85347970782303,-0.583934924782603,-1.49039745852597,-0.748460897529104,-1.04758493493051
Exp23_0026_epoched_target_-1950_1500_tf_power.mat ,-2.56067680769737,-2.41165484323397,-2.56768840488032,-2.61700712484192,-2.19010711716836,-2.71201485358579
Exp23_0028_epoched_target_-1950_1500_tf_power.mat ,-3.54154183323135,-3.3266102215979,-3.74270584993069,-3.43910511270877,-3.7207696747336,-3.05666166673279
Exp23_0029_epoched_target_-1950_1500_tf_power.mat ,-0.343170919883824,-0.408740942456093,-0.0847425784318191,-0.709608409911602,-0.343587582026148,-0.569663961316589
Exp23_0030_epoched_target_-1950_1500_tf_power.mat ,-1.80971283808533,-1.63775365174041,-2.17118599548217,-1.52726822148326,-1.34588523769713,-2.01811568666151
Exp23_0031_epoched_target_-1950_1500_tf_power.mat ,-1.3666832635545,-0.406860448186146,-1.47324099799622,-1.32868756243974,-0.191301608523976,-0.761942647004805
Exp23_0032_epoched_target_-1950_1500_tf_power.mat ,0.422247065107665,1.02522486592111,0.391618434293258,0.414045036739329,1.1797692869826,0.812088318742781
Exp23_0033_epoched_target_-1950_1500_tf_power.mat ,-2.10884008941597,-1.57399682287301,-1.97373964536284,-2.34628837970614,-1.93801869135844,-1.43625489407732
Exp23_0035_epoched_target_-1950_1500_tf_power.mat ,-2.05751128491984,-1.87452767201433,-2.11901385249954,-2.0481854138476,-1.79401551136947,-2.02296040450951
Exp23_0036_epoched_target_-1950_1500_tf_power.mat ,-4.71300338720054,-3.51625477563727,-4.87322856913953,-4.61029887582782,-3.6457982835482,-3.49127141697349
Exp23_0037_epoched_target_-1950_1500_tf_power.mat ,-1.86874222885149,-1.37258055496918,-2.04065873922595,-1.771536526114,-1.37961230699739,-1.45039472040393
Exp23_0038_epoched_target_-1950_1500_tf_power.mat ,-3.03716022639693,-2.28871663791159,-3.0535042591061,-3.0777596964,-2.25575472832676,-2.38666455207688
Exp23_0039_epoched_target_-1950_1500_tf_power.mat ,-0.450361328857726,-0.0374122890240535,-0.599930974892561,-0.360949477395203,-0.305560870629308,0.153805596178228
Exp23_0040_epoched_target_-1950_1500_tf_power.mat ,-1.30994018838031,-0.133573083543961,-1.2259684500521,-1.49896880741736,-0.129200735634258,-0.198036048112667
Exp23_0041_epoched_target_-1950_1500_tf_power.mat ,-0.897314014010922,-0.82597839018602,-1.04034997183375,-0.815489273065469,-0.801719478948362,-0.89602395554466
Exp23_0042_epoched_target_-1950_1500_tf_power.mat ,-0.0480958778307439,-0.00447050303010613,-0.111346191279517,-0.0792787713242826,0.401989392523232,-0.526198410161752
Exp23_0043_epoched_target_-1950_1500_tf_power.mat ,-2.45230798027032,-1.65016456184695,-2.48014566889927,-2.47661609623993,-1.57301610939348,-1.77321440021649
Exp23_0044_epoched_target_-1950_1500_tf_power.mat ,-1.19523286016393,-1.13157678587072,-1.22201488418688,-1.2231204614049,-1.32339808362584,-1.01343868758681
Exp23_0045_epoched_target_-1950_1500_tf_power.mat ,-1.93467948843548,-0.988741255407986,-1.87664520066152,-2.04731067283857,-0.88895473624909,-1.13139183712436
Exp23_0046_epoched_target_-1950_1500_tf_power.mat ,-1.15029715536534,-1.1059751376164,-1.06628568149013,-1.2899574220471,-1.24812565913181,-1.01759482992387
Exp23_0048_epoched_target_-1950_1500_tf_power.mat ,-0.103593690408071,0.287707370500816,-0.0653049184307431,-0.193342810100319,0.279659626977203,0.244330677415427
Exp23_0049_epoched_target_-1950_1500_tf_power.mat ,-1.19566569302221,-1.49861492530323,-1.73558057603037,-0.773865389389388,-1.24365249956988,-1.83018828939741
Exp23_0051_epoched_target_-1950_1500_tf_power.mat ,-1.11894980139907,-0.879955016915411,-1.08921022730318,-1.2344252982364,-1.18239362104796,-0.643892635893892
Exp23_0052__epoched_target_-1950_1500_tf_power.mat,-2.90671349795716,-1.09682018656139,-2.94890904530732,-2.90385994174339,-1.19824836736064,-1.05732149613929
Exp23_0053_epoched_target_-1950_1500_tf_power.mat ,-1.71276970472401,0.399487949486638,-1.75354236524306,-1.73122625515721,0.543555368125578,0.184013094732496
Exp23_0055_epoched_target_-1950_1500_tf_power.mat ,-0.0858370406256509,0.24666824351478,0.0653951787743733,-0.288289158196512,0.152632092562275,0.288374524680027
Exp23_0056_epoched_target_-1950_1500_tf_power.mat ,-0.0139245014598689,0.320141569634352,0.074481246469832,-0.169118595780313,0.352439878670945,0.238427349844566
Exp23_0058_epoched_target_-1950_1500_tf_power.mat ,-2.29317902925474,-1.30848023029167,-2.720963303073,-1.96082806427823,-1.52106521524348,-1.16436470676534
Exp23_0059_epoched_target_-1950_1500_tf_power.mat ,-1.54954095592441,-1.07899873534938,-1.46003298954681,-1.69215869320395,-0.973647653036181,-1.26264018331481
Exp23_0060_epoched_target_-1950_1500_tf_power.mat ,-2.3747988381509,-1.90269311028358,-2.50034112500438,-2.30187863683695,-2.01055721318027,-1.84894428147552
Exp23_0061_epoched_target_-1950_1500_tf_power.mat ,-1.28221679262762,-1.18779326279303,-1.4043557133958,-1.19272390383001,-1.33955221949883,-1.11227815158266
Exp23_0062_epoched_target_-1950_1500_tf_power.mat ,-1.07269915333704,-1.54442760185807,-1.32849990079473,-0.901463300608614,-2.2195334765138,-1.04583263385326
Exp23_0063_epoched_target_-1950_1500_tf_power.mat ,-3.70891320376983,-3.26558380469014,-3.74736779092104,-3.7602664553903,-3.6041413458345,-3.03995827673288
Exp23_0064_epoched_target_-1950_1500_tf_power.mat ,-1.87780768178228,-1.89658924441057,-1.93384022079166,-1.86851113701264,-2.03234529054591,-1.83247128789957
Exp23_0065_epoched_target_-1950_1500_tf_power.mat ,-3.08981666119521,-2.91293504882579,-3.60410113281454,-2.69482269488218,-3.24149750652595,-2.66161216373093
Exp23_0066_epoched_target_-1950_1500_tf_power.mat ,-1.30411871802863,-0.502132357934708,-1.62293273517719,-1.06795902271227,-0.982412287670667,-0.133274713049479
Exp23_0067_epoched_target_-1950_1500_tf_power.mat ,-0.394608523290738,0.119765962803224,-0.57497900008917,-0.288015187306244,0.177492244165954,-0.014629592479864
Exp23_0068_epoched_target_-1950_1500_tf_power.mat ,-2.03364441782197,-1.5825359195062,-2.00818346049653,-2.11915581587049,-1.82221111281517,-1.41659588526054
Exp23_0069_epoched_target_-1950_1500_tf_power.mat ,-2.15996605118633,-1.46821210740736,-2.23208598519591,-2.15250575624836,-1.38506199936223,-1.60671915728485
Exp23_0070_epoched_target_-1950_1500_tf_power.mat ,-1.85959349473174,-0.399513201361649,-1.95933115099108,-1.84732775599198,-0.55399283950478,-0.315892146357265
Exp23_0071_epoched_target_-1950_1500_tf_power.mat ,-1.15962811105143,-1.27213905357103,-1.1317092604944,-1.22867964998855,-1.53681897234654,-1.06443643161097
Exp23_0072_epoched_target_-1950_1500_tf_power.mat ,-0.938974365833345,0.0615546053793004,-1.03329679645571,-0.90263587305785,0.0330233190084259,0.0268277032405796
Exp23_0073_epoched_target_-1950_1500_tf_power.mat ,-0.0231937600387125,0.0556670254470741,-0.361424101149427,0.234146783074515,-0.00276038725847348,-0.01561024467459
Exp23_0074_epoched_target_-1950_1500_tf_power.mat ,0.55203045708953,1.45847941634522,0.819685509990033,0.211446454325039,1.02275404130503,1.79144743193885
Exp23_0075_epoched_target_-1950_1500_tf_power.mat ,1.03350723989292,1.16414697181124,0.919371799163366,1.06755412808588,0.906472345477747,1.33200146470342
Exp23_0076_epoched_target_-1950_1500_tf_power.mat ,-0.784738119031554,-0.548671605188337,-0.781955670733735,-0.83682829358673,-0.382706782807106,-0.791321310622041
Exp23_0077_epoched_target_-1950_1500_tf_power.mat ,-2.54719457600538,-2.72087286873949,-2.19894532677451,-2.99590075588724,-2.86756770381234,-2.63326167664413
Exp23_0078_epoched_target_-1950_1500_tf_power.mat ,-4.97173151002951,-4.53666463266294,-4.91089551176283,-5.13950587940695,-4.67365779156017,-4.47577163301321
Exp23_0080_epoched_target_-1950_1500_tf_power.mat ,-3.45006802077973,-3.06989115661108,-3.46686065376849,-3.55210123636869,-3.03018225062342,-3.19393638899157
Exp23_0081_epoched_target_-1950_1500_tf_power.mat ,-2.1292443249916,-1.25133551345878,-1.98651311179792,-2.33495239528189,-1.42112353049992,-1.15069817022487
Exp23_0082_epoched_target_-1950_1500_tf_power.mat ,-1.64546832476231,-1.44393625203451,-1.5698392535426,-1.76394998375118,-1.57244697330858,-1.36417750808138
Exp23_0083_epoched_target_-1950_1500_tf_power.mat ,-1.76168400259597,-1.3592639245903,-1.6188349781067,-1.97937642353125,-1.44086341791388,-1.36375162350402
Exp23_0084_epoched_target_-1950_1500_tf_power.mat ,-2.14081636058612,-2.01275700054174,-2.52214854529828,-1.86735339444198,-1.93299217688889,-2.15452628452603
Exp23_0085_epoched_target_-1950_1500_tf_power.mat ,-1.52135022667215,-1.22633378251279,-1.63659090125569,-1.46897001631553,-1.28096804980843,-1.21035255513226
Exp23_0086_epoched_target_-1950_1500_tf_power.mat ,-2.46745729278934,-2.61662064027047,-2.71972298394874,-2.27541322695411,-2.82403308973405,-2.47497450644605
Exp23_0087_epoched_target_-1950_1500_tf_power.mat ,-1.29643973857149,-0.992146226602172,-2.03991271465554,-0.794285540515676,-0.934631998716067,-1.168888083431
Exp23_0088_epoched_target_-1950_1500_tf_power.mat ,-1.49229802436983,-1.34970875200608,-1.18290688606495,-1.90973102208976,-1.11205991067337,-1.7023323670745
Exp23_0089_epoched_target_-1950_1500_tf_power.mat ,-2.6656029568732,-1.76920142534611,-2.60528526592,-2.77329584862492,-1.99753614417783,-1.62992804278261
Exp23_0091_epoched_target_-1950_1500_tf_power.mat ,-2.0715048753232,-1.63707643858568,-2.10733768416269,-2.07401953735701,-1.50962060133364,-1.83559177786151
Exp23_0092_epoched_target_-1950_1500_tf_power.mat ,1.90875607400746,1.90774953895641,1.84769318482561,1.90756058602522,1.82845554853942,1.87976473523269
Exp23_0093_epoched_target_-1950_1500_tf_power.mat ,-1.56098929487475,-1.62205101464565,-1.55125882778613,-1.62883435047585,-1.61651348463957,-1.68737969500062
Exp23_0095_epoched_target_-1950_1500_tf_power.mat ,-1.62821890061842,-1.58127079527284,-1.74233189398705,-1.57096149264799,-1.2947927053425,-1.93363707771434
Exp23_0096_epoched_target_-1950_1500_tf_power.mat ,-0.203360663406387,0.296670465390717,-0.456915253398978,-0.0600493983226181,-0.182568035575845,0.653437223559301
Exp23_0097_epoched_target_-1950_1500_tf_power.mat ,-1.22527282120709,-1.07080601829406,-1.00005948871773,-1.57984131036025,-1.28905838554724,-0.969957939558998
Exp23_0098_epoched_target_-1950_1500_tf_power.mat ,0.269704620914929,0.0405684846075175,-0.13810906738072,0.563590392256296,0.0309371421862788,-0.0206479492060481
Exp23_0099_epoched_target_-1950_1500_tf_power.mat ,0.611200787034638,1.07796415051404,0.595315733946015,0.582666433605976,1.00374272644462,1.10394070773286
Exp23_0100_epoched_target_-1950_1500_tf_power.mat ,-1.35239793624961,-1.01607860755242,-1.20600793008469,-1.54561982669375,-0.79977270851402,-1.29807467470767
Exp23_0101_epoched_target_-1950_1500_tf_power.mat ,-1.84455874932111,-1.4842947245762,-1.77662246494789,-1.96035390587125,-1.53330034310967,-1.48292819439153
Exp23_0102_epoched_target_-1950_1500_tf_power.mat ,-3.52360697065945,-2.38216052438441,-4.19282200953347,-2.99244490108948,-2.30671881920238,-2.50215905210546
Exp23_0104_epoched_target_-1950_1500_tf_power.mat ,-1.27323679233592,-0.771918236437204,-1.14278677259663,-1.47192365889782,-1.04503348178012,-0.558476421087328
Exp23_0105_epoched_target_-1950_1500_tf_power.mat ,-0.538962950108525,-0.859944620291746,-1.41733447920553,0.117458723388756,-0.654487702668758,-1.1433478389162
Exp23_0107_epoched_target_-1950_1500_tf_power.mat ,-2.04405045913525,-1.60915590205723,-2.09603916600143,-2.08234904906007,-1.84419250968351,-1.53590897142521
Exp23_0108_epoched_target_-1950_1500_tf_power.mat ,0.0226693405280407,0.451859824733944,-0.300230646271444,0.285186016113755,0.417044967344483,0.428809286123432
Exp23_0109_epoched_target_-1950_1500_tf_power.mat ,-0.710700259053831,-0.125803918254635,-0.635107851966856,-0.840487020118576,-0.096505354351846,-0.214332188568898
Exp23_0110_epoched_target_-1950_1500_tf_power.mat ,-1.28626430180485,-0.631068438480356,-1.49142692811587,-1.15337819393914,-0.67981630516533,-0.674691414522292
Exp23_0111_epoched_target_-1950_1500_tf_power.mat ,-1.93585297858131,-1.81934361903319,-1.98023482128692,-1.95054908718766,-1.6564078524338,-2.04021652803584
Exp23_0112_epoched_target_-1950_1500_tf_power.mat ,-1.2641219507017,-0.702526115786804,-1.08506115433826,-1.50801163833645,-0.666182003988202,-0.791823092736981
Exp23_0113_epoched_target_-1950_1500_tf_power.mat ,-4.49928434541061,-3.89739223132602,-4.36596791278652,-4.69886757894134,-3.63978060467764,-4.24952796857042
Exp23_0114_epoched_target_-1950_1500_tf_power.mat ,-0.842705391275734,-0.609867595965708,-0.822791600297564,-0.920183118198844,-0.72656304634656,-0.553421308386789
Exp23_0115_epoched_target_-1950_1500_tf_power.mat ,-1.38260787904634,-0.950906657554372,-1.34881024694731,-1.47996775481112,-0.877351980137089,-1.09001809609911
Exp23_0116_epoched_target_-1950_1500_tf_power.mat ,-2.65962412881293,-2.58874866902186,-2.83467117800754,-2.56564622167158,-2.45182110936523,-2.85907597223113
Exp23_0117_epoched_target_-1950_1500_tf_power.mat ,-0.546833026413117,-0.595289780136241,-0.448282694362312,-0.712112469239186,-0.569537141467953,-0.707575738401061
Exp23_0118_epoched_target_-1950_1500_tf_power.mat ,-1.81268992326612,-1.63395604533861,-2.1499353104666,-1.57959362437157,-1.00756461109177,-2.52568218529653
Exp23_0119_epoched_target_-1950_1500_tf_power.mat ,-0.552708055683419,-0.342249032959067,-0.101981875160202,-1.14854049771445,-0.532144487042836,-0.221569049944892
Exp23_0120_epoched_target_-1950_1500_tf_power.mat ,-1.56596991637074,-1.1646605511504,-1.68245897396091,-1.5220185575189,-1.21851775706531,-1.1679756815425
Exp23_0121_epoched_target_-1950_1500_tf_power.mat ,-1.03153297539029,-1.07968889292993,-1.09367059423884,-1.06790452611109,-1.6623356236333,-0.648775020730972
Exp23_0122_epoched_target_-1950_1500_tf_power.mat ,-1.82410671099064,-0.972514363143571,-1.805392160932,-1.90876414944693,-1.19861818708355,-0.805566834164083
