Var1,cue_Alpha_oddeven_switch_all,cue_Alpha_oddeven_repeat_all,cue_Alpha_oddeven_switch_odd,cue_Alpha_oddeven_switch_even,cue_Alpha_oddeven_repeat_odd,cue_Alpha_oddeven_repeat_even
Exp23_0001_epoched_cue_-750_1000_tf_power.mat  ,-2.26802040799946,-2.12161902669347,-2.32599533908794,-2.24632929249892,-1.9965146245582,-2.28225930733436
Exp23_0002_epoched_cue_-750_1000_tf_power.mat  ,-1.99746918776466,-2.1247615160338,-2.19625233104109,-1.89457504568391,-2.71678320208693,-1.72405313128924
Exp23_0003_epoched_cue_-750_1000_tf_power.mat  ,-2.30360622717033,-1.51897012450303,-2.57441525204325,-2.08273646742921,-1.3979229455344,-1.68256921038498
Exp23_0005_epoched_cue_-750_1000_tf_power.mat  ,0.094357012887517,0.685978475142721,0.210611426988599,-0.0679468948841625,0.689989473552178,0.648919254867655
Exp23_0006_epoched_cue_-750_1000_tf_power.mat  ,-0.494525005839922,-0.281463978234293,-0.517572060183547,-0.498885134637737,-0.428730970611132,-0.168498845613903
Exp23_0007_epoched_cue_-750_1000_tf_power.mat  ,-1.91613256308407,-1.07837705305942,-2.05312954292135,-1.81154408749671,-0.961946135905965,-1.24148501963327
Exp23_0008_epoched_cue_-750_1000_tf_power.mat  ,-2.85965343669576,-1.76716964395257,-2.89589314778639,-2.84679457280747,-1.69229356225257,-1.89323718279461
Exp23_0009_epoched_cue_-750_1000_tf_power.mat  ,-2.21023765056967,-0.787512417378985,-2.18458168059934,-2.26283323378347,-0.726945166801134,-0.881679947362675
Exp23_0010_epoched_cue_-750_1000_tf_power.mat  ,-1.78642978061613,-1.27951047990756,-1.83053175579172,-1.77625461317265,-1.37494463902419,-1.21230969420644
Exp23_00116_epoched_cue_-750_1000_tf_power.mat ,-1.80122033753027,-1.85517470791946,-1.75447356573005,-1.90715617709977,-2.03177090237544,-1.72527362508381
Exp23_0011_epoched_cue_-750_1000_tf_power.mat  ,-3.01294507576516,-2.41614059829597,-3.11529828030063,-2.94791390250572,-2.27621627026121,-2.59477814338146
Exp23_0012_epoched_cue_-750_1000_tf_power.mat  ,-1.28997786124588,-0.718689755261455,-1.12498454106301,-1.51823804666204,-0.411222675246366,-1.09577193539047
Exp23_0013_epoched_cue_-750_1000_tf_power.mat  ,-4.99474856783273,-4.49759501725621,-5.10306515922842,-4.92255657607215,-4.42307220735873,-4.60187311106432
Exp23_0014_epoched_cue_-750_1000_tf_power.mat  ,-2.07106190063806,-2.06596159839582,-2.19359901526959,-1.9905408110519,-2.12779079969768,-2.04060338595159
Exp23_0015_epoched_cue_-750_1000_tf_power.mat  ,-1.67052740255114,-1.48157206166732,-2.01281983155404,-1.38841923065737,-1.35345344052829,-1.63608659761739
Exp23_0016_epoched_cue_-750_1000_tf_power.mat  ,-1.63005382104123,-1.42397422323361,-1.54030650707543,-1.77798443007142,-1.34714422054045,-1.53877598627421
Exp23_0017_epoched_cue_-750_1000_tf_power.mat  ,-1.29555611770684,-1.44506194741988,-1.39088923553016,-1.24071521601491,-1.22967890250398,-1.70094356270644
Exp23_0018_epoched_cue_-750_1000_tf_power.mat  ,-0.316884098668582,0.206916662060608,-0.328028835184466,-0.346767818624356,0.179847683942886,0.180596292967126
Exp23_0019_epoched_cue_-750_1000_tf_power.mat  ,-2.10963105592553,-0.778125995424295,-2.04290058611046,-2.22336172238165,-1.09922150153325,-0.52177882302252
Exp23_0020_epoched_cue_-750_1000_tf_power.mat  ,-1.02273677654524,-0.769412696862871,-1.33908488339813,-0.759984569098739,-0.560847212876679,-1.02680814991878
Exp23_0021_epoched_cue_-750_1000_tf_power.mat  ,-1.56472327902653,-1.3844964703728,-1.22203627763478,-1.98275382517127,-1.23053047605777,-1.58071256182589
Exp23_0023_epoched_cue_-750_1000_tf_power.mat  ,-0.561875127493693,-0.84863310397089,-0.806853061676962,-0.401508596407166,-0.66215657696096,-1.10404034706295
Exp23_0024_epoched_cue_-750_1000_tf_power.mat  ,-1.01163568055645,-0.76389312165233,-1.02819113064388,-1.02664355020721,-0.640047352969558,-0.928977140414135
Exp23_0025_epoched_cue_-750_1000_tf_power.mat  ,-3.59903625165703,-3.26456291462872,-3.49417849554027,-3.73496738527772,-3.48061645830778,-3.10601630684285
