Var1,target_Alpha_oddeven_switch_all,target_Alpha_oddeven_repeat_all,target_Alpha_oddeven_switch_odd,target_Alpha_oddeven_switch_even,target_Alpha_oddeven_repeat_odd,target_Alpha_oddeven_repeat_even
Exp23_0001_epoched_target_-1950_1500_tf_power.mat  ,-1.52434795266507,-1.29031947486777,-1.58577136491685,-1.50164936889924,-1.17363671710071,-1.43834022575781
Exp23_0002_epoched_target_-1950_1500_tf_power.mat  ,-0.463218796630699,-0.713621671935015,-1.14943746641897,0.0170847689727803,-1.27304353898286,-0.315914548367022
Exp23_0003_epoched_target_-1950_1500_tf_power.mat  ,-2.01070486662647,-1.5041990106163,-2.11106928745337,-1.96949788111508,-1.72987220872005,-1.33578830275143
Exp23_0005_epoched_target_-1950_1500_tf_power.mat  ,-0.338216228599076,0.412051055613717,-0.324113775463177,-0.389521454905223,0.528807909117223,0.25084982737078
Exp23_0006_epoched_target_-1950_1500_tf_power.mat  ,-0.344044515132333,-0.178761898176169,-0.344123169638741,-0.383388394252291,-0.111716072521024,-0.275930274760697
Exp23_0007_epoched_target_-1950_1500_tf_power.mat  ,-2.85920424596365,-1.9920685591665,-3.01275207504651,-2.74544916951575,-1.91591656933628,-2.0977608227371
Exp23_0008_epoched_target_-1950_1500_tf_power.mat  ,-2.17905680934333,-1.30052909470578,-2.29909192250173,-2.08884570851515,-1.11072950487464,-1.52993467675041
Exp23_0009_epoched_target_-1950_1500_tf_power.mat  ,-2.01622384185353,-0.929546085042965,-2.10258315795678,-1.94999553083589,-0.832423133163984,-1.04907541183383
Exp23_0010_epoched_target_-1950_1500_tf_power.mat  ,-2.0062174965974,-1.44305488313021,-2.0744999341881,-1.98099229206022,-1.63988501247497,-1.28997001089481
Exp23_00116_epoched_target_-1950_1500_tf_power.mat ,-4.2821244855932,-4.05491169342066,-4.34855332006531,-4.2579290962916,-4.48192593912859,-3.72429914283473
Exp23_0011_epoched_target_-1950_1500_tf_power.mat  ,-3.15142449357545,-2.60481785438065,-3.0278118714541,-3.32423130660859,-2.68308434334474,-2.55804927974072
Exp23_0012_epoched_target_-1950_1500_tf_power.mat  ,-1.05216863717032,-0.644585704505821,-0.773626291659621,-1.42000889734495,-0.704288997877487,-0.622651954221862
Exp23_0013_epoched_target_-1950_1500_tf_power.mat  ,-2.80852497470087,-2.10865123712037,-2.87407679992386,-2.77955394387813,-2.17410355715058,-2.08035616048931
Exp23_0014_epoched_target_-1950_1500_tf_power.mat  ,-2.17993123004132,-2.25417428610429,-2.02952649136624,-2.38047367668708,-2.34615503257643,-2.19383169778488
Exp23_0015_epoched_target_-1950_1500_tf_power.mat  ,-0.76095169560428,-0.577595045904277,-0.853179081460311,-0.708700489978825,-0.921977205520453,-0.287996492104147
Exp23_0016_epoched_target_-1950_1500_tf_power.mat  ,-1.22556666456599,-0.89741237239374,-1.24338204312233,-1.24898399209267,-0.774826845755203,-1.05850076273246
Exp23_0017_epoched_target_-1950_1500_tf_power.mat  ,-1.07249167977641,-1.16527397208582,-1.11083348902532,-1.07186217532849,-1.10048056153472,-1.26509787566926
Exp23_0018_epoched_target_-1950_1500_tf_power.mat  ,0.473792918958921,1.18610969697468,0.341952004361328,0.565483561603211,1.13535580174304,1.19272393641745
